,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
0,NZC New Zealand Car Auckland,4.8,680,Used car dealer,"Auckland, New Zealand",+64 800 692 800,http://www.nzc.kiwi/,"""New Zealand Car is a rapidly growing, 100% Kiwi-owned and operated car trader. Our Auckland and Christchurch branches offer cars for sale in both cities, and countrywide delivery options. We have a huge selection of Japanese import cars, ranging from...  More"
1,AJ Motors Henderson,4.9,697,Used car dealer,"Auckland, New Zealand",+64 9 355 8888,https://www.ajmotors.co.nz/,"""Why Choose AJ Motors? AJ Motors was established in 2019 and we direct import affordable, High quality vehicles from Japan and UK . AJ motors is committed to treating customers with fairness, respect & dignity. We are honest in our dealings and...  More"
2,City Motor Group,4.8,478,Used car dealer,"Auckland, New Zealand",+64 800 333 803,http://www.citymotorgroup.co.nz/,"""City Motor Group has successfully assisted over 30,000 customers NZ wide to find the right car. With a focus on providing a unique environment, a great vehicle range, and a car-buying and ownership experience that really is second to none. We have an...  More"
3,Budget Car Sales (Manukau),4.7,573,Used car dealer,"Auckland, New Zealand",+64 9 263 1001,https://www.budgetcarsales.co.nz/#utm_source=google%20my%20business&utm_medium=organic&utm_campaign=manukau,"""Looking for a used car in Auckland? Budget Car Sales has 350+ to choose from, including Hybrid, SUVs, People Mover, Van/Commercial and more... Browse our extensive online inventory or visit our Manukau yard for a test drive. We are open seven days a...  More"
4,AJ Motors Hamilton,4.9,579,Used car dealer,"Hamilton, New Zealand",+64 7 843 8888,https://linktr.ee/ajmotorshamilton,"""Allow AJ Motors Hamilton to be your one-stop shop for all your vehicle needs, especially for second-hand cars. We offer a wide selection of new and used cars, trucks, and SUVs from top brands and are recognized as a credible and the best-used car...  More"
5,AJ Motors Hornby Christchurch,4.9,534,Used car dealer,"Christchurch, New Zealand",+64 3 341 5322,https://www.ajmotors.co.nz/vehicles?Dealership=Christchurch,"""AJ Motors Christchurch is your one-stop shop for all your vehicle needs. We have emerged as the best-used car dealer in Christchurch, offering a wide selection of second-hand cars for sale. If you are looking forward to buying used cars, then our...  More"
6,Infinity Cars,4.8,310,Used car dealer,"Auckland, New Zealand",+64 9 443 7100,http://www.infinitycars.co.nz/,N/A
7,NZ Motors 4WD'S limited,4.9,409,Car dealer,"Auckland, New Zealand",+64 21 155 7781,https://nzmotorsltd.co.nz/,N/A
8,Great Wall Motors Wellington,4.7,54,Used car dealer,"Wellington, New Zealand",+64 4 383 9886,https://www.greatwallmotors.nz/,N/A
9,NZC,4.6,203,Used car dealer,"Christchurch, New Zealand",+64 800 778 807,http://www.nzc.kiwi/,"""New Zealand Car is a rapidly growing, 100% Kiwi-owned and operated car trader. Our Auckland and Christchurch branches offer cars for sale in both cities, and countrywide delivery options. We have a huge selection of Japanese import cars, ranging from...  More"
10,RK Cars,4.3,291,Used car dealer,"Auckland, New Zealand",+64 9 620 4477,https://www.rkcars.co.nz/,"""Discover the difference at RK Cars in Mount Roskill! As one of Auckland's most trusted and largest car yards, we take pride in serving over 4000 happy customers. With 100+ used cars available at our convenient location, we offer a hassle-free car...  More"
11,NZ Cheap Cars - Mt Wellington,4.7,154,Used car dealer,"Auckland, New Zealand",+64 800 457 836,https://www.nzcheapcars.co.nz/,"""NZ Cheap Cars provides a wide selection of quality used cars at competitive prices. Every fresh import goes through an AA Appraisal and comes with comprehensive warranty options. We stand by the quality of every used car we sell! We also provide...  More"
12,Auto Corner Limited - Quality Used Car Dealer in New Lynn,4.8,106,Car dealer,"Auckland, New Zealand",+64 9 270 0007,http://www.autocorner.co.nz/,"""WELCOME TO AUTO CORNER LIMITED All our imported cars have been carefully selected and inspected by our agents in Japan. Also we provide quality NZ new vehicles to New Zealanders. Most of them are cheapest on the NZ market. We have low overheads so...  More"
13,0800 Best Deal Cars Onehunga,4.4,455,Used car dealer,"Auckland, New Zealand",+64 9 634 5755,http://www.0800bestdeal.co.nz/,N/A
14,AJ Motors East Tamaki,4.7,341,Used car dealer,"Auckland, New Zealand",+64 9 274 7888,https://www.ajmotors.co.nz/vehicles?Dealership=East%20Tamaki,"""AJ Motors——Great Cars, Great Value We are a registered motor vehicle trader(M381928) and a direct Japanese vehicle importer in East Tamaki, Auckland, NZ who owns 5 branches nationwide and has over 450 quality vehicles available for sale. If you want...  More"
15,Andrew Simms Newmarket,4.4,777,Car dealer,"Auckland, New Zealand",+64 9 523 1939,http://www.andrewsimms.co.nz/,"""Welcome to Andrew Simms Newmarket, where excellence meets automotive passion. As the leading dealership in Newmarket, we pride ourselves on offering an extensive selection of top-quality vehicles coupled with exceptional customer service. At Andrew...  More"
16,Portage Cars New Lynn,4.7,197,Used car dealer,"Auckland, New Zealand",+64 21 489 387,http://www.portagecars.co.nz/?utm_source=google&utm_medium=gbp&utm_campaign=organic,"""As one of the largest used car dealerships in New Zealand, Portage Cars offers a hassle-free car buying experience. With a vast selection of Hatchbacks, Sedans, Station Wagons, People Movers, Commercial Vans, Trucks and Caravans, you're sure to find...  More"
17,AJ MOTORS WEST CITY,5.0,233,Used car dealer,"Auckland, New Zealand",+64 9 835 2917,http://www.ajmotors.co.nz/,"""AJ Motors is one of the biggest Used Motor Vehicle Dealers in NZ. We have 8 branches nationwide. We have an established team to service our existing and future customers. We not only supply great cars, but great values. Grab your AJ Motors AJ...  More"
18,The Car Bazaar Ltd,4.8,64,Used car dealer,"Christchurch, New Zealand",+64 3 366 5906,http://www.thecarbazaar.co.nz/,N/A
19,Dave Allen Motors & Finance,4.9,551,Used car dealer,"Hamilton, New Zealand",+64 800 227 000,https://www.daveallenmotors.co.nz/,"""Dave Allen Motors & Finance is one of the largest and most trusted MTA Assured Dealerships in the Waikato region with over 25 years of trading and 46,000+ sales nationwide. We know that you're looking for the right car at the lowest possible price,...  More"
20,Enterprise Motor Group New Lynn,4.6,281,Used car dealer,"Auckland, New Zealand",+64 800 215 116,https://www.enterprisecars.co.nz/branches/new-lynn.html,"""Enterprise Motor Group New Lynn has been part of the New Lynn community for over 20 years, providing the community with the best selection of quality used cars including a wide range of SUVs, Utes and EV/Hybrids. Trade-In your car today and upgrade...  More"
21,WHOLESALE MOTORS HOLDINGS LTD - Cheap Cars & Easy Finance,4.1,184,Used car dealer,"Christchurch, New Zealand",+64 21 430 895,http://www.wholesalemotors.co.nz/,"""Wholesale Motors - CHEAP CARS For Sale Christchurch - Easy Finance is based in Addington and is your local, reputable used car sales company. We are a family-run dealership with plenty of experience in the industry. You can trust Wholesale Motors to...  More"
22,Legendary Motors,4.7,192,Used car dealer,"Auckland, New Zealand",+64 21 975 013,http://www.legendarymotor.co.nz/,"""Our business is about quality used vehicles. We source cars from Japan at competitive prices. Private enquiries welcome. We run a good team from Japan to Auckland that saves you time and money. We can offer mechanical warranties, finance options and...  More"
