,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description,Meta
0,New Zealand Rent A Car Queenstown,4.8,181,Car rental agency,"Queenstown, New Zealand",+64 9 869 3318,http://www.nzrentacar.co.nz/,"""Our Queenstown branch is conveniently located close to the airport at 13/2 Red Oaks Drive.we offer a wide range of vehicle solutions to cater to your ever-changing needs. visit our website to check out the largest range of affordable late model rentals on offer in Queenstown.""""","4.8
(181) · Car rental agency"
1,Omega Rental Cars Auckland Airport,4.8,N/A,Car rental agency,"Auckland, New Zealand",+64 9 275 3265,https://www.omegarentalcars.com/car-rental-auckland-airport/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=aucklandairport,"""Our depot location is just five minutes from the airport terminal, at 3 Kingsford Smith Place, Mangere. Our car hire depot is open seven days a week, from 7 am to 5 pm.

We offer our customers a complimentary shuttle bus from the domestic and international terminal to our car hire depot.
Omega Rental Cars can provide a pick-up service to and from selected hotels near the Auckland Airport domestic terminal. Our representative will bring you to our depot to pick up your hire car.""","4.8
(2.8K) · Car rental agency"
2,New Zealand Rent A Car Picton - Affordable Car Hire,4.9,12,Car rental agency,"Picton, New Zealand",+64 3 573 7282,https://www.nzrentacar.co.nz/locations/picton/,"""Welcome to New Zealand Rent A Car Picton, providing reliable Picton car rental at competitive rates. Our Picton car rental branch is located at the ferry complex, close to the town centre.

Picton is located at the head of Queen Charlotte Sound and is the gateway to the Marlborough Sounds region, offering so much to do and see. The easiest way to fit it all in is with a quality car rental from New Zealand Rent A Car.""","4.9
(12) · Car rental agency"
3,New Zealand Rent A Car Dunedin,4.9,76,Car rental agency,"Dunedin, New Zealand",+64 800 800 956,https://www.nzrentacar.co.nz/locations/dunedin/,"""Come on down to New Zealand Rent A Car Dunedin, where you can hire top quality, reliable rental cars at affordable rates. Choose from our wide selection of rental vehicles ranging from compact economical hatchbacks through to sedans and 12 seater minibuses – there is something to suit everyone.""","4.9
(76) · Car rental agency"
4,GO Rentals - Auckland City,4.6,674,Car rental agency,"Auckland, New Zealand",+64 9 974 1598,https://www.gorentals.co.nz/rental-car-locations/auckland-city/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps-Free_Listing_ACITY&utm_content=AucklandCity,"""As one of New Zealand’s largest independent Kiwi car rental companies, we’re thrilled to offer our award-winning car rental services in Auckland City.

Our Auckland City Airport Car Rental branch is conveniently located just a few minutes from both domestic and international terminals. We provide complimentary airport transfers to make things super easy for you to pick up.

Cruise through stunning landscapes with our modern fleet, featuring eco-friendly EVs including the Tesla Model 3 and Hybrids to spacious SUVs at affordable prices.

We'll take care of the important stuff and point out the fun stuff you can do while on the road - freeing you up to enjoy the journey. GO love every moment with the perfect rental car for your journey.""","4.6
(674) · Car rental agency"
5,Omega Rental Cars Auckland,4.6,N/A,Car rental agency,"Auckland, New Zealand",+64 9 377 5573,https://www.omegarentalcars.com/car-rental-auckland/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=auckland,"""The Omega Rental Cars Auckland City depot is conveniently located at 75 Beach Road, Auckland CBD. The Omega Car Rentals Auckland City branch can be easily reached on foot from most city centre hotels.

At Omega, we have cheap car rentals in Auckland City to save you money! Our modern fleet ranges from economy sedans to luxury SUVs.

If your accommodation is close to the airport, we can arrange a pick-up and bring you to our Auckland Airport depot to collect your car hire.""","4.6
(1.3K) · Car rental agency"
6,Enterprise Rent-A-Car - Auckland Airport,4.4,636,Car rental agency,"Auckland, New Zealand",+64 9 870 3330,https://www.enterpriserentacar.co.nz/en/car-rental/locations/new-zealand/auckland-airport-kze1.html?mcid=yext:245709&utm_source=google&utm_medium=organic&utm_campaign=local&utm_id=AKLO,"""Enterprise Rent-A-Car in Auckland Airport is one of eight Enterprise Rent-A-Car branches in New Zealand. It is one of two branches in Auckland, the other being in the CBD. It's also part of a network of over 9,500 branches and 90 countries worldwide. Choose the best car rental in Auckland, with vehicles across multiple ranges, including 4WDs, hybrids and more. All at an affordable price! We offer one-way rentals, allowing you to pick up your car in one location and drop it off at another Enterprise Rent-A-Car New Zealand branch. We also have a generous Business Car Rental program. Our friendly team is happy to answer any of your questions. We hope to see you soon!""","4.4
(636) · Car rental agency"
7,GO Rentals - Auckland Airport,4.7,N/A,Car rental agency,"Auckland, New Zealand",+64 9 974 1598,https://www.gorentals.co.nz/rental-car-locations/auckland-airport/?utm_source=Google_Maps&utm_medium=organic&utm_campaign=Google_Maps-Free_Listing_AAP&utm_content=AucklandAirport,"""As one of New Zealand’s largest independent Kiwi car rental companies, we’re thrilled to offer our award-winning car rental services in Auckland.

Our Auckland Airport Car Rental branch is conveniently located just a few minutes from both the domestic and international terminals. We provide complimentary airport transfers to make things super easy for you to pick up.

Cruise through stunning landscapes with our modern fleet, featuring eco-friendly EVs including the Tesla Model 3 and Hybrids to spacious SUVs, all at affordable prices.

We'll take care of the important stuff and point out the fun stuff you can do while on the road - freeing you up to really enjoy the journey. GO love every moment with the perfect rental car for your journey.""","4.7
(2.4K) · Car rental agency"
8,NZ longterm car hire,4.9,73,Car rental agency,"Cambridge, New Zealand",+64 27 825 5598,https://nzlongtermcarhire.co.nz/,"""Established in 2019, NZ Long Term Car Hire provides reliable, well-maintained vehicles for rentals lasting from two weeks to a year. Their extensive service area covers all of New Zealand, with 5 offices nationwide with convenient pick-up and drop-off options at airports and hotels. Roadside assistance ensures peace of mind on your extended journey. All our pricing is included of insurance. Taylor-made custom travel packages can be set up and we are well known for our high standard of personal service. Our cars are maintained to the highest standards, and we are well known for our clean and pristine vehicles. Enjoy the journey with us as we are the most affordable vehicle rental company in NEW ZEALAND, when it comes to value for money.""","4.9
(73) · Car rental agency"
9,Omega Rental Cars Picton,4.9,919,Car rental agency,"Picton, New Zealand",+64 3 573 5580,https://www.omegarentalcars.com/car-rental-picton/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=picton,"""Omega Rental Cars is one of New Zealand's largest independently owned nationwide rental car companies, known for our upfront and honest service! From our Picton office we service the Inter-islander and Bluebridge ferries and can assist you with a range of cars, 4WDs and MPVs to suit every requirement. We look forward to being of service to you and helping you explore this wonderful region!""","4.9
(919) · Car rental agency"
