,Name,Rating,Reviews,Category,Location,Contact Number,Website,Description
0,JCP Car Parts,4.3,180,Auto parts store,"Auckland, New Zealand",+64 9 296 8500,https://jcpcarparts.co.nz/,"""We are Commercial car dismantler under JCR Carremovals AND auto parts dealer under JCP Car Parts both work under the same company Japanese Car Parts Ltd.

If you want to sell your car for scrap and want to get some cash for junk cars- be it dead or alive, give us a call or leave us a message.
At the same time we also supply auto parts to whole New Zealand. Besides, we are also exporter of used engines and other parts.

Just imagine nobody bothers the hazardous parts in the abandoned vehicles if dumped in landfill and its environmental consequences ! We are specialized in recycling all these parts in an environmental friendly ways. We help the Country from environmental degradation and help to reduce burden on the government"""
1,New Zealand Car Parts Auckland,4.9,15,Auto parts store,"Mount Maunganui, New Zealand",+64 7 575 6514,https://nzcp.co.nz/,N/A
2,American Auto Parts,4.9,29,Auto parts store,"Christchurch, New Zealand",+64 3 379 5585,https://www.americanautoparts.co.nz/,N/A
3,CT auto parts New Zealand,5.0,19,Auto parts store,"Auckland, New Zealand",+64 21 763 716,N/A,N/A
4,NZAD NZ Automotive Distributors,4.9,107,Auto parts store,"Auckland, New Zealand",+64 800 556 923,http://www.nzad.co.nz/,"""NZAD is one of the last true NZ owned and operated automotive parts businesses in the country.

We are a team of dedicated enthusiasts running NZ’s best online automotive parts outlet that services the whole of the country.

Please give us the opportunity to supply you with your much needed parts

We offer standard replacement parts and performance upgrade parts. We specialise in Clutches, Flywheels, Brakes, Water Pumps, Bearings, Bushes, Exhausts and 4x4 Accessories but we are constantly expanding our range."""
5,1st Auto Parts Ltd,4.6,79,Auto parts store,"Auckland, New Zealand",+64 9 638 6439,http://www.1stparts.co.nz/,"""1st Auto Parts has been involved in the automotive industry for well over 30 years. Originally known as Segedin Auto Spares on Dominion Rd, we made the move in 2019 to a purpose built warehouse in the Airport Oaks area, allowing closer contact to freight companies, so we can continue to concentrate on providing quality automotive parts.
Specialising in performance engine parts for V8 performance and Japanese performance, we have built a foundation on quality products at competitive prices with the right knowledge. We value customer satisfaction which is shown through our awards such as ‘Federal Mogul outstanding sales award’ and ‘Quick fuel carburetor sales and service award’."""
6,Segedin Truck And Auto Parts Ltd (STA Parts),4.5,152,Auto parts store,"Auckland, New Zealand",+64 9 256 1120,https://www.staparts.co.nz/,"""STA Parts is a trusted supplier of automotive aftermarket car parts and accessories in New Zealand. With over 40+ years of experience specializing in petrol and diesel engine parts, Japanese and V8 performance parts. We stock a huge selection of replacement and performance parts, oils, lubricants, additives and racing fuel.
NZ distributor for many world leading brands. Fast, affordable parts for automotive enthusiasts on a budget - Shop now for the best deals!"""
7,New Zealand Cars Parts Auckland Ltd,4.8,62,Auto wrecker,"Auckland, New Zealand",+64 9 969 5577,http://www.nzcpak.co.nz/,N/A
8,Extreme Automotive Parts Distributors,4.6,16,Auto parts store,"Wellington, New Zealand",+64 4 384 7074,http://www.extremeautomotive.co.nz/,N/A
9,Dodson Autospares,4.3,128,Auto body parts supplier,"Auckland, New Zealand",+64 9 441 3152,https://dodsonautospares.co.nz/,"""Dodson's Autospares is Auckland's Leading Supplier of New & Used Japanese Car Parts - Specialising in all Japanese Car Makes Toyota, Honda, Mazda, Nissan + More) + New Parts & We Can Source Parts For All Models - 12 Month Warranty On Car Parts Included - Enquire Today for a Free Quote!"""
